COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,5/10/2022,6029737,5326298,15.489,13.682,4676224,12.012,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/22/2021,11,,
Albania,ALB,EURO,REPORTING,5/1/2022,2825500,1299321,98.2,45.655,1230636,43.242,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5,295543,10.385
Algeria,DZA,AFRO,REPORTING,5/8/2022,15205854,7840131,34.676,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4,514063,1.172
American Samoa,ASM,WPRO,REPORTING,4/21/2022,105958,44240,191.963,80.149,40593,73.542,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,21694,39.303
Andorra,AND,EURO,REPORTING,5/1/2022,152694,57874,197.6,75.973,53427,70.135,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3,41393,54.338
Angola,AGO,AFRO,REPORTING,5/8/2022,17896626,12059919,54.453,36.694,6327907,19.253,SII - Covishield,3/10/2021,1,369899,1.125
Anguilla,AIA,AMRO,REPORTING,5/6/2022,23378,10676,155.833,71.164,9955,66.358,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2/5/2021,2,2747,18.311
Antigua and Barbuda,ATG,AMRO,REPORTING,5/6/2022,135605,63952,138.473,65.304,61815,63.122,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,5/6/2022,99115622,41035648,219.303,90.795,37278843,82.483,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7,21113527,46.716
Armenia,ARM,EURO,REPORTING,4/17/2022,2154689,1131339,72.7,38.179,987673,33.331,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8,41766,1.409
Aruba,ABW,AMRO,REPORTING,5/6/2022,170458,88453,159.656,82.848,82005,76.808,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2,,
Australia,AUS,WPRO,REPORTING,5/7/2022,58068709,22288752,227.721,87.407,21553633,84.524,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,13497494,52.932
Austria,AUT,EURO,REPORTING,5/1/2022,18278212,6823343,205.3,76.658,6608360,74.242,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,5197422,58.391
Azerbaijan,AZE,EURO,REPORTING,4/24/2022,13499692,5362072,133.1,52.885,4843392,47.769,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,5,3294230,32.49
Bahamas,BHS,AMRO,REPORTING,5/6/2022,340866,166471,86.681,42.333,157964,40.169,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,4,27866,7.086
Bahrain,BHR,EMRO,REPORTING,5/10/2022,3437604,1235076,202.025,72.584,1219273,71.656,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/4/2020,11,983255,57.785
Bangladesh,BGD,SEARO,REPORTING,5/10/2022,258739535,128838366,157.108,78.231,116692702,70.856,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8,13208467,8.02
Barbados,BRB,AMRO,REPORTING,5/6/2022,361863,161776,125.92,56.294,152018,52.899,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5,48069,16.727
Belarus,BLR,EURO,REPORTING,5/1/2022,12495345,6235073,132.2,65.984,5851853,61.929,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4,691479,7.318
Belgium,BEL,EURO,REPORTING,5/1/2022,25303482,9228773,219.6,80.094,9131490,79.25,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,7130176,61.881
Belize,BLZ,AMRO,REPORTING,5/6/2022,473152,237193,118.994,59.652,211123,53.096,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,45848,11.53
Benin,BEN,AFRO,REPORTING,5/8/2022,3333450,3157864,27.496,26.048,2625325,21.655,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/29/2021,5,,
Bermuda,BMU,AMRO,REPORTING,5/6/2022,130325,48424,209.28,77.761,47592,76.425,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2,31723,50.942
Bhutan,BTN,SEARO,REPORTING,5/9/2022,1907022,692593,247.149,89.76,671671,87.048,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,5,542758,70.341
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,5/6/2022,13606698,7177505,116.565,61.488,5930420,50.805,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,6,1387905,11.89
Bonaire,XAA,AMRO,REPORTING,5/6/2022,40756,17522,194.865,83.777,15796,75.525,,,,7438,35.563
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,4/9/2021,7391,5726,28.441,22.034,2965,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,1/29/2022,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,5/8/2022,1920000,1479625,81.646,62.919,1339651,56.967,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6,327708,13.935
Brazil,BRA,AMRO,REPORTING,5/6/2022,416055006,179112844,195.736,84.265,159915412,75.233,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5,79853054,37.567
British Virgin Islands,VGB,AMRO,REPORTING,5/6/2022,40872,19284,135.172,63.776,17862,59.073,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2/11/2021,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,5/6/2022,1124061,432057,256.941,98.761,409091,93.511,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4/3/2021,5,282887,64.663
Bulgaria,BGR,EURO,REPORTING,5/1/2022,4383603,2087643,63.1,30.032,2057778,29.602,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,743630,10.697
Burkina Faso,BFA,AFRO,REPORTING,5/8/2022,2928989,2432124,14.012,11.635,1539455,7.365,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",6/2/2021,3,,
Burundi,BDI,AFRO,REPORTING,5/8/2022,12651,12651,0.106,0.106,12078,0.102,Beijing CNBG - BBIBP-CorV,10/18/2021,1,,
Cabo Verde,CPV,AFRO,REPORTING,5/8/2022,756797,354945,136.118,63.841,307145,55.243,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4,70,0.013
Cambodia,KHM,WPRO,REPORTING,5/6/2022,38460280,14932546,230.04,89.315,14192815,84.891,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/10/2021,7,8586491,51.358
Cameroon,CMR,AFRO,REPORTING,5/8/2022,1828882,1552320,6.89,5.848,1209108,4.555,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4,52011,0.196
Canada,CAN,AMRO,REPORTING,5/6/2022,82266137,32534718,217.969,86.203,31193378,82.649,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5,18538041,49.118
Cayman Islands,CYM,AMRO,REPORTING,5/6/2022,143196,60855,217.888,92.597,58924,89.659,Pfizer BioNTech - Comirnaty,1/15/2021,1,22987,34.977
Central African Republic,CAF,AFRO,REPORTING,5/8/2022,1037580,1023144,21.483,21.184,988591,20.469,"Bharat - Covaxin,SII - Covishield",3/19/2021,2,,
Chad,TCD,AFRO,REPORTING,5/8/2022,2347168,2212530,14.289,13.47,2087559,12.709,Beijing CNBG - BBIBP-CorV,6/4/2021,1,,
Chile,CHL,AMRO,REPORTING,5/6/2022,52997000,17918425,277.236,93.734,17464675,91.361,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,5,14021464,73.349
China,CHN,WPRO,REPORTING,5/6/2022,3399003302,1295022927,231.022,88.02,1263903146,85.905,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7/22/2020,8,739107960,50.235
Colombia,COL,AMRO,REPORTING,5/6/2022,82845381,42136168,162.816,82.81,35534430,69.836,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,5,11597140,22.792
Comoros,COM,AFRO,REPORTING,5/1/2022,642320,341302,73.864,39.248,301218,34.639,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/2021,3,,
Congo,COG,AFRO,REPORTING,5/8/2022,831318,693902,15.065,12.575,652422,11.823,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",3/23/2021,4,,
Cook Islands,COK,WPRO,REPORTING,4/28/2022,39598,15004,225.45,85.425,14678,83.569,Pfizer BioNTech - Comirnaty,5/17/2021,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,5/6/2022,10698423,4413772,210.015,86.644,4105520,80.593,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/24/2020,3,2179131,42.777
Côte d’Ivoire,CIV,AFRO,REPORTING,5/8/2022,12387947,7952458,46.963,30.148,5445391,20.643,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,87290,0.331
Croatia,HRV,EURO,REPORTING,5/1/2022,5243706,2311811,129.2,57,2237678,55.14,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,891125,21.959
Cuba,CUB,AMRO,REPORTING,5/6/2022,36030990,10659099,318.109,94.107,9950189,87.848,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,6868019,60.636
Curaçao,CUW,AMRO,REPORTING,5/6/2022,251186,107943,153.075,65.782,99037,60.354,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/24/2021,3,44206,26.94
Cyprus,CYP,EURO,REPORTING,5/1/2022,1767252,662881,199,74.648,659031,74.215,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,459937,51.794
Czechia,CZE,EURO,REPORTING,5/1/2022,17563851,6952162,164.2,65.01,6862670,64.173,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,4158810,38.889
Democratic Republic of the Congo,COD,AFRO,REPORTING,5/8/2022,1143186,1771324,1.276,1.978,1064851,1.189,SII - Covishield,4/19/2021,1,,
Denmark,DNK,EURO,REPORTING,5/1/2022,13200246,4833577,226.7,83.012,4785844,82.192,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/16/2020,5,3627647,62.301
Djibouti,DJI,EMRO,REPORTING,5/8/2022,181125,160562,18.332,16.251,120510,12.197,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/15/2021,11,,
Dominica,DMA,AMRO,REPORTING,5/6/2022,66479,32611,92.343,45.299,30222,41.98,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/2021,4,3646,5.065
Dominican Republic,DOM,AMRO,REPORTING,5/6/2022,15502635,7208988,142.909,66.455,5964717,54.985,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/2021,3,2328930,21.469
Ecuador,ECU,AMRO,REPORTING,5/6/2022,34566499,15134584,195.921,85.782,13925623,78.93,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,4,5915440,33.528
Egypt,EGY,EMRO,REPORTING,5/8/2022,82376780,46490815,80.498,45.43,34569036,33.78,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/24/2021,10,2754574,2.692
El Salvador,SLV,AMRO,REPORTING,5/6/2022,10650522,4579500,164.203,70.604,4288368,66.115,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/2021,6,1597387,24.627
Equatorial Guinea,GNQ,AFRO,REPORTING,5/8/2022,480000,265505,34.213,18.924,206762,14.737,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/2021,2,2403,0.171
Estonia,EST,EURO,REPORTING,5/1/2022,2066615,841064,155.5,63.287,836478,62.942,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,453413,34.117
Eswatini,SWZ,AFRO,REPORTING,5/8/2022,535393,387468,46.148,33.398,336066,28.967,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,3,,
Ethiopia,ETH,AFRO,REPORTING,5/8/2022,29373478,24769870,25.55,21.546,21291403,18.52,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",3/13/2021,4,346411,0.301
Falkland Islands (Malvinas),FLK,AMRO,OWID,4/14/2021,4407,2632,126.529,75.567,1775,50.962,AstraZeneca - AZD1222,,1,,
Faroe Islands,FRO,EURO,OWID,2/18/2022,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,5/5/2022,1447529,687835,161.474,76.729,634655,70.797,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3/7/2021,3,125039,13.948
Finland,FIN,EURO,REPORTING,5/1/2022,11788503,4527706,213.4,81.945,4333456,78.429,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,2927341,52.981
France,FRA,EURO,REPORTING,5/1/2022,147030463,54336626,218.4,80.714,52726063,78.321,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,39676353,58.937
French Guiana,GUF,AMRO,REPORTING,5/6/2022,227699,97727,76.235,32.719,88414,29.601,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,2,41558,13.914
French Polynesia,PYF,WPRO,REPORTING,4/29/2022,,186797,,66.498,,,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/18/2021,2,,
Gabon,GAB,AFRO,REPORTING,5/8/2022,556657,300871,25.01,13.518,255200,11.466,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021,3,2126,0.096
Gambia,GMB,AFRO,REPORTING,3/20/2022,363353,331266,15.035,13.708,318161,13.165,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/2021,2,,
Georgia,GEO,EURO,REPORTING,4/24/2022,2670636,1277876,66.9,32.034,1161430,29.115,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4,231330,5.799
