Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio
Global,,516476402,6626.130319585148,3557106,45.63586608276109,675952,6258023,80.28726149033466,11092,0.1423047349699404,1623,1.2116764630032408
United States of America,Americas,81178013,24524.883,492020,148.645,156260,990599,299.272,2568,0.776,339,1.2202790121363676
India,South-East Asia,43110586,3123.946,22468,1.628,2897,524157,37.982,237,0.017,54,1.2158340765173277
Brazil,Americas,30574245,14383.858,113248,53.278,9709,664192,312.474,590,0.278,53,2.172393526131862
France,Europe,28172780,43316.509,250885,385.743,48584,143723,220.979,710,1.092,123,0.510149606008185
Germany,Europe,25503878,30665.969,422268,507.737,69020,136987,164.714,80,0.096,5,0.5371230891154948
The United Kingdom,Europe,22144632,32620.32,59282,87.326,5218,176687,260.27,540,0.795,12,0.7978769061738205
Russian Federation,Europe,18241329,12499.672,35162,24.094,4102,377248,258.505,827,0.567,98,2.068094266793561
Republic of Korea,Western Pacific,17658794,34443.29,263022,513.022,43925,23491,45.819,412,0.804,29,0.13302736178802896
Italy,Europe,16872618,28290.069,286350,480.119,56199,164731,276.202,842,1.412,158,0.9763214080531228
Turkey,Europe,15046779,17840.817,10669,12.65,1858,98861,117.219,60,0.071,7,0.6570270856990462
Spain,Europe,12058888,25476.911,105407,222.694,49829,105123,222.094,476,1.006,222,0.8717461861840315
Viet Nam,Western Pacific,10681214,10973.259,21856,22.454,2855,43058,44.235,14,0.014,1,0.403116339457585
Argentina,Americas,9101319,20137.544,17646,39.043,0,128729,284.825,76,0.168,0,1.414397902743254
Japan,Western Pacific,8172238,6461.47,220046,173.982,39041,29894,23.636,211,0.167,51,0.36579911382394403
Netherlands,Europe,8063029,46319.056,10007,57.486,1586,22281,127.996,19,0.109,3,0.27633551081006485
Iran (Islamic Republic of),Eastern Mediterranean,7226219,8603.364,2643,3.147,460,141192,168.1,61,0.073,3,1.9538868749479854
Australia,Western Pacific,6328508,24817.791,305766,1199.088,48015,7565,29.667,254,0.996,49,0.1195392450520677
Colombia,Americas,6093645,11975.823,978,1.922,0,139809,274.766,12,0.024,0,2.294339186542754
Indonesia,South-East Asia,6049541,2211.707,2050,0.749,400,156424,57.188,103,0.038,8,2.585695121460483
Poland,Europe,6001893,15811.874,3895,10.261,566,116164,306.032,94,0.248,14,1.9354568598257234
Mexico,Americas,5745652,4456.317,2292,1.778,0,324465,251.654,6,0.005,0,5.64712968130409
Ukraine,Europe,5006460,11447.587,3590,8.209,0,108449,247.975,38,0.087,0,2.166177029272632
Malaysia,Western Pacific,4463740,13791.448,11959,36.949,2605,35590,109.961,26,0.08,6,0.7973129434994788
Thailand,South-East Asia,4345218,6225.243,54394,77.928,7650,29252,41.908,392,0.562,56,0.6731946046122216
Austria,Europe,4231050,47534.205,36813,413.58,4787,19816,222.625,51,0.573,3,0.46834695142161314
Belgium,Europe,4102082,35600.81,17516,152.016,0,31580,274.074,45,0.391,0,0.769853270192448
Israel,Europe,4098807,47354.718,14564,168.262,2021,10749,124.186,3,0.035,1,0.2622463088049643
Portugal,Europe,3991041,38763.367,99866,969.958,20482,22500,218.533,142,1.379,27,0.5637616567208933
Czechia,Europe,3914113,36601.228,4917,45.979,755,40233,376.222,37,0.346,1,1.0278944739231153
South Africa,Africa,3844625,6482.397,42427,71.536,0,100533,169.508,156,0.263,0,2.614896927787669
Canada,Americas,3794896,10054.794,30050,79.619,2060,39788,105.421,338,0.896,5,1.0484650406562284
Philippines,Western Pacific,3687320,3364.924,1104,1.007,127,60439,55.155,27,0.025,0,1.6391157720055491
Switzerland,Europe,3631884,41964.694,9684,111.894,3,13217,152.716,7,0.081,0,0.3639154380584784
Chile,Americas,3583227,18744.451,19577,102.411,1853,57642,301.535,98,0.513,3,1.6086627450438533
Peru,Americas,3570075,10827.644,3552,10.773,293,212957,645.875,92,0.279,11,5.965055740657894
Greece,Europe,3371051,31450.581,35501,331.21,6416,29444,274.701,195,1.819,27,0.873436964487238
Denmark,Europe,3124899,53666.945,5800,99.609,1003,6252,107.372,61,1.048,8,0.2000710120540679
Romania,Europe,2900375,15005.429,4363,22.572,812,65581,339.291,71,0.367,15,2.2611216247132955
Sweden,Europe,2503090,24236.925,837,8.105,0,18824,182.269,0,0.0,0,0.752030218354845
Iraq,Eastern Mediterranean,2325871,5782.513,584,1.452,131,25215,62.689,3,0.007,1,1.0841134295763797
Serbia,Europe,2010961,29032.0,3407,49.186,466,16037,231.524,30,0.433,4,0.7974786442546156
Bangladesh,South-East Asia,1952855,1185.781,112,0.068,0,29127,17.686,0,0.0,0,1.4915064417459885
Hungary,Europe,1909948,19550.058,6748,69.072,6748,46343,474.363,77,0.788,77,2.4264020086283122
Slovakia,Europe,1785978,32722.967,2625,48.096,443,20002,366.48,59,1.081,8,1.1199473446280102
Jordan,Eastern Mediterranean,1696054,16622.873,84,0.823,0,14066,137.86,0,0.0,0,0.8293391882377975
Georgia,Europe,1655221,41492.815,0,0.0,0,16811,421.415,0,0.0,0,1.0156336705523594
Pakistan,Eastern Mediterranean,1528833,692.117,877,0.397,31,30375,13.751,6,0.003,0,1.9868028093515981
Ireland,Europe,1527328,30765.363,5280,106.356,424,7167,144.367,37,0.745,6,0.4692517361163591
China,Western Pacific,1428927,97.121,277804,18.882,51290,15493,1.053,164,0.011,24,1.084214536506008
Norway,Europe,1428333,26610.372,1534,28.579,167,3006,56.003,0,0.0,0,0.21045553215114768
Kazakhstan,Europe,1394649,7427.548,104,0.554,5,19014,101.264,1,0.005,0,1.3633570594225712
Singapore,Western Pacific,1225024,20939.357,22478,384.217,4831,1356,23.178,18,0.308,4,0.11069107804981787
Morocco,Eastern Mediterranean,1165366,3157.27,362,0.981,83,16071,43.54,2,0.005,0,1.3790394866451081
Bulgaria,Europe,1160347,16692.081,2428,34.928,422,37007,532.361,60,0.863,13,3.189302759793701
Croatia,Europe,1128239,27801.703,4661,114.855,440,15899,391.778,51,1.257,3,1.4091870559152437
Cuba,Americas,1104110,9747.925,715,6.313,53,8528,75.292,1,0.009,1,0.772390021466107
Lebanon,Eastern Mediterranean,1097643,16081.633,525,7.692,68,10402,152.4,10,0.147,2,0.947664954174741
Lithuania,Europe,1060058,37939.293,1064,38.08,198,9123,326.511,12,0.429,1,0.8606143504044739
Finland,Europe,1052767,19053.599,1459,26.406,0,4150,75.109,0,0.0,0,0.394198492368817
Tunisia,Eastern Mediterranean,1041197,8809.803,1004,8.495,0,28575,241.78,25,0.212,0,2.7444427531466937
Slovenia,Europe,1016993,48523.876,5656,269.865,982,7697,367.248,13,0.62,1,0.7568397874893589
New Zealand,Western Pacific,1009876,20942.082,52135,1081.138,8047,855,17.73,102,2.115,29,0.08466206941602082
Belarus,Europe,982867,10401.456,1999,21.155,58,6978,73.847,24,0.254,4,0.7099679121846018
Nepal,South-East Asia,978978,3359.936,94,0.323,18,11952,41.02,0,0.0,0,1.2208565877445285
Mongolia,Western Pacific,922227,28131.343,802,24.464,0,2111,64.393,1,0.031,0,0.22890126504091896
Bolivia (Plurinational State of),Americas,905453,7756.801,356,3.05,0,21925,187.826,2,0.017,0,2.4214363627479933
Uruguay,Americas,902540,25981.87,2817,81.094,0,7213,207.644,3,0.086,0,0.7991880492050805
United Arab Emirates,Eastern Mediterranean,900764,9107.456,1522,15.389,280,2302,23.275,0,0.0,0,0.25555984020125927
Ecuador,Americas,871029,4936.951,1126,6.382,0,35602,201.79,4,0.023,0,4.087340546827384
Costa Rica,Americas,857290,16829.017,5216,102.393,0,8421,165.308,16,0.314,0,0.9822795948212542
Guatemala,Americas,849552,4741.976,2920,16.299,57,17703,98.814,90,0.502,4,2.0838148484935393
Latvia,Europe,824926,43242.481,1816,95.194,291,5792,303.616,15,0.786,2,0.7021243762586147
Azerbaijan,Europe,792638,7817.579,53,0.523,6,9709,95.757,0,0.0,0,1.2248932821785363
Panama,Americas,789830,18305.276,12172,282.101,1359,8194,189.906,9,0.209,1,1.0374386051322033
Saudi Arabia,Eastern Mediterranean,756549,2173.125,2209,6.345,569,9104,26.15,11,0.032,0,1.2033362093758988
Sri Lanka,South-East Asia,663597,3099.002,128,0.598,0,16509,77.097,2,0.009,0,2.487800911390183
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657193,12882.566,133,2.607,0,5657,110.891,0,0.0,0,0.8607834805581435
Paraguay,Americas,649718,9109.212,263,3.687,0,18872,264.59,2,0.028,0,2.90464202611598
Kuwait,Eastern Mediterranean,632074,14800.691,247,5.784,0,2555,59.828,0,0.0,0,0.4042243703351418
Myanmar,South-East Asia,613066,1126.757,101,0.186,0,19434,35.718,0,0.0,0,3.1699825250697358
Dominican Republic,Americas,580020,5346.836,448,4.13,0,4376,40.34,0,0.0,0,0.7544648835311202
Puerto Rico,Americas,576871,20164.301,30879,1079.363,615,4234,147.998,19,0.664,2,0.7339604779754081
Bahrain,Eastern Mediterranean,574401,33757.019,4674,274.687,644,1477,86.802,1,0.059,0,0.25713763410211077
Estonia,Europe,573922,43185.279,861,64.787,0,2556,192.329,5,0.376,0,0.44535778036770357
Venezuela (Bolivarian Republic of),Americas,522749,1838.339,235,0.826,0,5709,20.077,0,0.0,0,1.0921271865526434
Republic of Moldova,Europe,518166,12845.086,413,10.238,0,11516,285.476,13,0.322,0,2.222453006542736
Egypt,Eastern Mediterranean,513846,502.124,56,0.055,0,24669,24.106,28,0.027,0,4.800806175367041
Libya,Eastern Mediterranean,501919,7304.58,3,0.044,0,6430,93.578,0,0.0,0,1.2810866606978089
Cyprus,Europe,483664,54466.36,3444,387.836,0,1027,115.653,12,1.351,0,0.21233840484291588
Ethiopia,Africa,470760,409.486,151,0.131,0,7510,6.533,0,0.0,0,1.5954147394538523
Honduras,Americas,424365,4284.521,647,6.532,486,10895,109.999,2,0.02,0,2.5673581714268643
Armenia,Europe,422900,14271.57,23,0.776,0,8623,291.0,1,0.034,0,2.039018832546104
Réunion,Africa,405980,45345.086,7865,878.465,0,762,85.11,6,0.67,0,0.187693987392592
Oman,Eastern Mediterranean,389325,7623.918,199,3.897,19,4259,83.401,1,0.02,0,1.0939388382718702
Bosnia and Herzegovina,Europe,377385,11502.782,210,6.401,30,15773,480.765,5,0.152,2,4.179554128731641
Qatar,Eastern Mediterranean,365495,12686.16,717,24.887,161,677,23.498,0,0.0,0,0.18522547405992043
Kenya,Africa,323900,602.366,104,0.193,0,5649,10.506,0,0.0,0,1.7441223442226157
Zambia,Africa,319755,1739.316,0,0.0,0,3976,21.628,0,0.0,0,1.2434773209698526
North Macedonia,Europe,310413,14899.49,625,29.999,115,9287,445.766,1,0.048,0,2.991820525400534
Botswana,Africa,306200,13020.772,0,0.0,0,2690,114.389,0,0.0,0,0.8785116581413144
Albania,Europe,275416,9570.366,225,7.818,44,3497,121.516,1,0.035,0,1.2697111061374247
Algeria,Africa,265800,606.143,18,0.041,0,6875,15.678,0,0.0,0,2.5865183628285737
Nigeria,Africa,255766,124.074,0,0.0,0,3143,1.525,0,0.0,0,1.2291052114060963
Zimbabwe,Africa,247842,1667.518,0,0.0,0,5469,36.796,0,0.0,0,2.2066328519392293
Luxembourg,Europe,242194,38682.464,2859,456.63,16,1071,171.057,5,0.799,1,0.4422081282102402
Uzbekistan,Europe,238747,713.333,111,0.332,4,1637,4.891,0,0.0,0,0.6856545260067879
Montenegro,Europe,235939,37566.196,539,85.82,107,2717,432.601,2,0.318,0,1.1515698847974918
Kosovo[1],Europe,228107,12703.198,52,2.896,4,3128,174.197,0,0.0,0,1.37128461667684
Mozambique,Africa,225430,721.251,43,0.138,0,2201,7.042,0,0.0,0,0.9763591315644624
Mauritius,Africa,222848,17522.693,0,0.0,0,996,78.316,0,0.0,0,0.44694043318569815
Lao People's Democratic Republic,Western Pacific,209028,2873.016,1180,16.219,89,752,10.336,6,0.082,1,0.3597613100657984
Kyrgyzstan,Europe,200993,3080.734,0,0.0,0,2991,45.845,0,0.0,0,1.48811938972985
Iceland,Europe,186179,51129.255,438,120.285,90,120,32.955,1,0.275,0,0.0644542933394981
Maldives,South-East Asia,179483,33204.142,55,10.175,0,298,55.13,0,0.0,0,0.16603350268770686
Afghanistan,Eastern Mediterranean,179066,459.989,165,0.424,56,7686,19.744,3,0.008,1,4.292276554439345
Uganda,Africa,164153,358.875,29,0.063,0,3598,7.866,0,0.0,0,2.1918495297805642
El Salvador,Americas,162089,2498.981,0,0.0,0,4129,63.658,1,0.015,1,2.547358303244402
Ghana,Africa,161269,519.001,47,0.151,0,1445,4.65,0,0.0,0,0.8959520309209424
Namibia,Africa,159052,6259.659,241,9.485,0,4026,158.447,1,0.039,0,2.5312401202685324
Martinique,Americas,153994,41036.068,2022,538.819,0,918,244.627,0,0.0,0,0.5961268024022185
Guadeloupe,Americas,152516,38117.184,2561,640.052,0,945,236.177,1,0.25,0,0.6196076814068951
Trinidad and Tobago,Americas,151806,10847.253,3176,226.94,214,3856,275.529,23,1.643,4,2.5400808849945693
Brunei Darussalam,Western Pacific,143372,32772.316,1293,295.557,265,159,36.345,1,0.229,0,0.11090153042586309
Cambodia,Western Pacific,136262,815.015,5,0.03,0,3056,18.279,0,0.0,0,2.2427808077151954
Jamaica,Americas,131327,4434.974,989,33.399,0,2980,100.636,11,0.371,0,2.2691452080666084
Rwanda,Africa,129875,1002.724,36,0.278,0,1459,11.264,0,0.0,0,1.1233400217806695
Cameroon,Africa,119780,451.219,0,0.0,0,1927,7.259,0,0.0,0,1.6087531775036068
Angola,Africa,99287,302.094,0,0.0,0,1900,5.781,0,0.0,0,1.9136427734413792
Malta,Europe,93041,18081.521,891,173.156,123,713,138.564,11,2.138,2,0.7663293370065493
Democratic Republic of the Congo,Africa,86767,96.88,0,0.0,0,1337,1.493,0,0.0,0,1.541081750619323
Senegal,Africa,86016,513.715,9,0.054,0,1966,11.742,0,0.0,0,2.2857031622592294
Malawi,Africa,85816,448.595,26,0.136,0,2634,13.769,0,0.0,0,3.0693610049153466
Côte d’Ivoire,Africa,81974,310.763,15,0.057,0,799,3.029,0,0.0,0,0.9746977600293472
French Guiana,Americas,80859,27071.936,0,0.0,0,395,132.248,0,0.0,0,0.4885058829926311
Suriname,Americas,79393,13533.697,57,9.716,0,1328,226.377,0,0.0,0,1.672691504767692
Barbados,Americas,73856,25700.217,3363,1170.248,264,430,149.63,32,11.135,24,0.5822129828709228
French Polynesia,Western Pacific,72786,25910.974,21,7.476,0,648,230.681,0,0.0,0,0.8902830129041078
Eswatini,Africa,71215,6138.356,475,40.942,0,1401,120.759,4,0.345,0,1.9672857032078297
Fiji,Western Pacific,64725,7220.186,79,8.813,0,862,96.158,0,0.0,0,1.331793945474535
Madagascar,Africa,64236,231.974,55,0.199,0,1393,5.031,2,0.007,0,2.1687775354134518
Guyana,Americas,63586,8084.144,102,12.968,3,1228,156.124,0,0.0,0,1.9312372466398422
Sudan,Eastern Mediterranean,62161,141.761,23,0.052,0,4936,11.257,3,0.007,0,7.940829988501774
New Caledonia,Western Pacific,61185,21430.973,300,105.08,298,312,109.283,0,0.0,0,0.5099301837578724
Bhutan,South-East Asia,59540,7716.353,182,23.587,10,21,2.722,0,0.0,0,0.03527573194227895
Mauritania,Africa,58743,1263.383,48,1.032,0,982,21.12,0,0.0,0,1.671702088756933
Belize,Americas,57675,14504.763,184,46.274,63,676,170.008,0,0.0,0,1.1720839561459915
Cabo Verde,Africa,56075,10085.667,39,7.015,0,401,72.124,0,0.0,0,0.7151138343155689
Syrian Arab Republic,Eastern Mediterranean,55863,319.205,34,0.194,5,3150,17.999,0,0.0,0,5.638696135712159
Jersey,Europe,50033,46414.524,95,88.129,0,127,117.815,1,0.928,0,0.25383218408100017
Gabon,Africa,47608,2138.98,6,0.27,0,304,13.658,0,0.0,0,0.6385286444941046
Papua New Guinea,Western Pacific,43839,489.984,16,0.179,0,651,7.276,1,0.011,0,1.4849464472309302
Seychelles,Africa,42690,43407.526,0,0.0,0,166,168.79,0,0.0,0,0.38884962022484304
Curaçao,Americas,42674,26005.984,344,209.637,344,275,167.588,1,0.609,1,0.6444209148171436
Andorra,Europe,41717,53992.105,368,476.283,0,153,198.02,0,0.0,0,0.36675732498297664
Burundi,Africa,41216,346.621,480,4.037,0,15,0.126,0,0.0,0,0.03635094238375632
Guam,Western Pacific,40723,24128.574,166,98.356,0,358,212.117,5,2.963,1,0.879111214777964
Mayotte,Africa,37363,13695.361,0,0.0,0,187,68.545,0,0.0,0,0.5004979423324438
Togo,Africa,37009,447.037,14,0.169,0,273,3.298,0,0.0,0,0.7377465399955709
Guinea,Africa,36549,278.303,0,0.0,0,442,3.366,0,0.0,0,1.2094731282091822
United Republic of Tanzania,Africa,35354,59.186,1482,2.481,0,840,1.406,37,0.062,0,2.3755617882607374
Aruba,Americas,35334,33094.805,369,345.616,369,212,198.565,0,0.0,0,0.5999884271866839
Faroe Islands,Europe,34658,70926.021,0,0.0,0,28,57.301,0,0.0,0,0.08078981337469926
Bahamas,Americas,33748,8581.949,147,37.381,0,798,202.927,0,0.0,0,2.3645794212946267
Lesotho,Africa,33151,1547.486,0,0.0,0,697,32.536,0,0.0,0,2.1025069047474423
Isle of Man,Europe,32600,38338.508,176,206.981,176,104,122.307,2,2.352,0,0.3190186743834684
Mali,Africa,30940,152.784,90,0.444,0,733,3.62,1,0.005,0,2.369358047963138
Haiti,Americas,30707,269.3,0,0.0,0,835,7.323,0,0.0,0,2.7192721871518755
Benin,Africa,26605,219.455,0,0.0,0,163,1.345,0,0.0,0,0.6128819120092956
Somalia,Eastern Mediterranean,26485,166.643,0,0.0,0,1361,8.563,0,0.0,0,5.138529671213313
Guernsey,Europe,25042,38844.078,210,325.743,210,46,71.353,1,1.551,1,0.18369080609919483
Congo,Africa,24041,435.676,0,0.0,0,385,6.977,0,0.0,0,1.6014194034098737
Saint Lucia,Americas,23798,12959.968,339,184.613,20,368,200.406,0,0.0,0,1.5463464107318783
Timor-Leste,South-East Asia,22888,1735.984,9,0.683,2,130,9.86,0,0.0,0,0.5679775850468668
Cayman Islands,Americas,22828,34735.24,605,920.572,0,28,42.605,1,1.522,0,0.12265641463827513
Burkina Faso,Africa,20899,99.98,34,0.163,0,384,1.837,1,0.005,0,1.8373674734946988
Solomon Islands,Western Pacific,18174,2645.862,2293,333.826,1300,146,21.255,5,0.728,3,0.8033298788825721
Gibraltar,Europe,17996,53414.859,161,477.872,0,102,302.751,0,0.0,0,0.5667917236288127
Tajikistan,Europe,17786,186.482,0,0.0,0,125,1.311,0,0.0,0,0.7030169131605195
South Sudan,Africa,17513,156.454,23,0.205,0,138,1.233,0,0.0,0,0.7880910683012259
United States Virgin Islands,Americas,17353,16617.668,962,921.235,0,113,108.212,2,1.915,0,0.6511864360270044
Liechtenstein,Europe,17271,44573.773,72,185.821,0,83,214.21,0,0.0,0,0.48057408108575417
San Marino,Europe,16785,49457.835,187,551.005,42,115,338.853,0,0.0,0,0.685135125708596
Equatorial Guinea,Africa,15907,1133.797,0,0.0,0,183,13.044,0,0.0,0,1.1504704986871548
Grenada,Americas,15818,14057.57,1075,955.36,335,220,195.516,0,0.0,0,1.3908235918441096
Djibouti,Eastern Mediterranean,15631,1582.085,0,0.0,0,189,19.13,0,0.0,0,1.2091638565563796
Nicaragua,Americas,14447,218.083,25,0.377,25,236,3.563,1,0.015,1,1.6337816335982174
Central African Republic,Africa,14358,297.281,0,0.0,0,113,2.34,0,0.0,0,0.7871340583488349
Bermuda,Americas,13872,22276.107,260,417.516,0,135,216.787,4,6.423,0,0.9731817143812428
Dominica,Americas,12493,17353.558,332,461.169,0,63,87.511,0,0.0,0,0.5042827528510291
Gambia,Africa,11996,496.386,0,0.0,0,365,15.103,0,0.0,0,3.0425918539201344
Monaco,Europe,11972,30506.574,148,377.128,26,57,145.245,0,0.0,0,0.4761104934300391
Greenland,Europe,11971,21086.099,0,0.0,0,21,36.99,0,0.0,0,0.17542362861902527
Yemen,Eastern Mediterranean,11819,39.627,0,0.0,0,2149,7.205,0,0.0,0,18.182047593812296
Northern Mariana Islands (Commonwealth of the),Western Pacific,11305,19641.399,24,41.698,0,34,59.072,0,0.0,0,0.3007525074970474
Samoa,Western Pacific,10926,5506.668,716,360.862,0,22,11.088,2,1.008,0,0.20135588344893865
Tonga,Western Pacific,10826,10242.679,332,314.111,61,11,10.407,0,0.0,0,0.10160427755277696
Saint Martin,Americas,10487,27126.93,69,178.484,0,44,113.816,0,0.0,0,0.4195683035271592
Sint Maarten,Americas,10123,23606.641,58,135.255,58,86,200.55,0,0.0,0,0.849549073923732
Eritrea,Africa,9734,274.474,0,0.0,0,103,2.904,0,0.0,0,1.0580237108068524
Niger,Africa,8986,37.122,32,0.132,0,309,1.277,0,0.0,0,3.440008620225203
Saint Vincent and the Grenadines,Americas,8479,7642.87,54,48.675,7,106,95.547,0,0.0,0,1.2501455605027956
Bonaire,Americas,8444,40372.938,88,420.751,88,30,143.438,1,4.781,1,0.35528254099317713
Guinea-Bissau,Africa,8215,417.429,5,0.254,0,171,8.689,0,0.0,0,2.081551593205072
Comoros,Africa,8108,932.382,1,0.115,0,160,18.399,0,0.0,0,1.9733328185228802
Vanuatu,Western Pacific,8063,2625.144,466,151.72,0,14,4.558,1,0.326,0,0.17362857047080085
Sierra Leone,Africa,7682,96.302,1,0.013,0,125,1.567,0,0.0,0,1.6271728520695312
Antigua and Barbuda,Americas,7663,7825.057,9,9.19,0,137,139.897,0,0.0,0,1.7878080632511686
Liberia,Africa,7434,146.984,0,0.0,0,294,5.813,0,0.0,0,3.95485222881402
Chad,Africa,7412,45.124,0,0.0,0,193,1.175,0,0.0,0,2.6039358212924384
British Virgin Islands,Americas,6467,21387.704,112,370.407,0,62,205.047,0,0.0,0,0.9587144089893893
Turks and Caicos Islands,Americas,5995,15483.754,0,0.0,0,36,92.98,0,0.0,0,0.6005003696132087
American Samoa,Western Pacific,5974,10823.052,101,182.981,5,29,52.539,2,3.623,0,0.48543608586561354
Sao Tome and Principe,Africa,5970,2724.05,0,0.0,0,73,33.309,0,0.0,0,1.2227749123547658
Saint Kitts and Nevis,Americas,5595,10518.499,30,56.399,4,43,80.839,0,0.0,0,0.7685412148634515
Cook Islands,Western Pacific,5336,30380.323,136,774.311,30,1,5.693,0,0.0,0,0.018739102938438144
Palau,Western Pacific,4782,26431.572,92,508.512,50,6,33.164,0,0.0,0,0.12547116002029696
Saint Barthélemy,Americas,4518,45705.615,31,313.606,0,4,40.465,0,0.0,0,0.08853397990596999
Kiribati,Western Pacific,3093,2589.39,9,7.535,0,13,10.883,0,0.0,0,0.42029203789309455
Anguilla,Americas,2984,19890.681,196,1306.492,196,9,59.992,0,0.0,0,0.30160857740365954
Saint Pierre and Miquelon,Americas,2727,47057.808,26,448.663,0,1,17.256,0,0.0,0,0.03666979133409699
Sint Eustatius,Americas,924,29436.126,4,127.429,4,5,159.286,0,0.0,0,0.5411241954868653
Other,Other,764,,0,,0,13,,0,,0,
Saba,Americas,575,29746.508,17,879.462,17,0,0.0,0,0.0,0,0.0
Wallis and Futuna,Western Pacific,454,4036.991,0,0.0,0,7,62.244,0,0.0,0,1.5418414358615118
Montserrat,Americas,452,9041.808,179,3580.716,0,2,40.008,0,0.0,0,0.4424778761061947
Falkland Islands (Malvinas),Americas,392,11254.666,195,5598.622,0,0,0.0,0,0.0,0,0.0
Holy See,Europe,26,3213.844,0,0.0,0,0,0.0,0,0.0,0,0.0
Marshall Islands,Western Pacific,17,28.719,0,0.0,0,0,0.0,0,0.0,0,0.0
Niue,Western Pacific,9,556.242,0,0.0,0,0,0.0,0,0.0,0,0.0
Micronesia (Federated States of),Western Pacific,7,6.086,0,0.0,0,0,0.0,0,0.0,0,0.0
Nauru,Western Pacific,3,27.691,0,0.0,0,0,0.0,0,0.0,0,0.0
Democratic People's Republic of Korea,South-East Asia,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Pitcairn Islands,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Saint Helena,Africa,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Tokelau,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Turkmenistan,Europe,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
Tuvalu,Western Pacific,0,0.0,0,0.0,0,0,0.0,0,0.0,0,
